@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
466,'2019/02/08 17:35:36:442',3,77.851097,141.989594,215.100128,224.242661,223.328888,232.382813,85.293488,151.770767,206.627197,219.262787,223.828079,238.8172,0.039579,0.044437,0.009745,0.045687,0.033784,0.024773,0.829999,132,0,0,0,349.228241,0.63,0.95,1
467,'2019/02/08 17:35:36:505',3,77.917603,142.657471,215.878159,224.475891,224.612045,229.683609,85.340836,151.940643,206.522308,219.682755,224.192291,236.380051,0.039954,0.044521,0.007838,0.045476,0.034056,0.022653,0.829999,132,0,0,0,349.228241,0.63,0.95,1
468,'2019/02/08 17:35:36:506',3,77.917603,142.657471,215.878159,224.475891,224.612045,229.683609,85.340836,151.940643,206.522308,219.682755,224.192291,236.380051,0.039954,0.044521,0.007838,0.045476,0.034056,0.022653,0.829999,132,0,0,0,349.228241,0.63,0.95,1
469,'2019/02/08 17:35:36:572',3,79.642754,146.60379,219.53653,224.787018,224.967392,230.445999,85.198265,155.693649,209.961288,220.834412,227.742737,238.802246,0.041646,0.044314,0.0061,0.047348,0.035101,0.021612,0.829999,132,0,0,0,349.228241,0.63,0.95,1
470,'2019/02/08 17:35:36:572',3,79.642754,146.60379,219.53653,224.787018,224.967392,230.445999,85.198265,155.693649,209.961288,220.834412,227.742737,238.802246,0.041646,0.044314,0.0061,0.047348,0.035101,0.021612,0.829999,132,0,0,0,349.228241,0.63,0.95,1
471,'2019/02/08 17:35:36:639',3,81.429688,148.262009,220.965149,227.513535,227.636398,232.637848,85.923836,153.871628,208.711563,221.462479,229.075134,239.599747,0.04162,0.044141,0.006214,0.045594,0.034068,0.024099,0.829999,132,0,0,0,349.228241,0.63,0.95,1
472,'2019/02/08 17:35:36:639',3,81.429688,148.262009,220.965149,227.513535,227.636398,232.637848,85.923836,153.871628,208.711563,221.462479,229.075134,239.599747,0.04162,0.044141,0.006214,0.045594,0.034068,0.024099,0.829999,132,0,0,0,349.228241,0.63,0.95,1
473,'2019/02/08 17:35:36:705',3,78.746277,146.348572,219.995041,225.206024,224.733063,230.49556,78.535362,142.426682,204.980606,218.141647,226.623505,234.899933,0.041634,0.044416,0.005588,0.048629,0.037397,0.022149,0.829999,132,0,0,0,349.228241,0.63,0.95,1
474,'2019/02/08 17:35:36:706',3,78.746277,146.348572,219.995041,225.206024,224.733063,230.49556,78.535362,142.426682,204.980606,218.141647,226.623505,234.899933,0.041634,0.044416,0.005588,0.048629,0.037397,0.022149,0.829999,132,0,0,0,349.228241,0.63,0.95,1
475,'2019/02/08 17:35:36:771',3,76.494118,142.522644,197.157745,212.641922,212.629761,228.77359,82.885239,152.833786,205.104294,218.522232,222.531708,237.198135,0.04096,0.032691,0.019366,0.04439,0.03694,0.022763,0.829999,132,0,0,0,349.228241,0.63,0.95,1
