@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
104,'2019/02/24 18:18:59:551',1,180.5,138,0,0.6,4,0,0,0,1
105,'2019/02/24 18:18:59:602',1,180.600006,138.399994,0.4,0,6,0,0,0,1
106,'2019/02/24 18:18:59:653',1,183.300003,137.5,0.5,0,-5,0,0,0,1
107,'2019/02/24 18:18:59:705',1,183.300003,137.300003,1,0,-5,0,0,0,1
108,'2019/02/24 18:18:59:756',1,177.5,139.600006,1.5,0,12,0,0,0,1
109,'2019/02/24 18:18:59:807',1,180.600006,137.800003,0,0,-9,0,0,0,1
110,'2019/02/24 18:18:59:859',1,183,137,0,0.5,-8,0,0,0,1
111,'2019/02/24 18:18:59:910',1,182.199997,137.199997,0,0,3,0,0,0,1
112,'2019/02/24 18:18:59:961',1,183.300003,137.800003,0,0.4,0,0,0,0,1
113,'2019/02/24 18:19:00:013',1,178.100006,136,0,0.1,-4,0,0,0,1
114,'2019/02/24 18:19:00:063',1,178.899994,137.800003,0.5,0,11,0,0,0,1
115,'2019/02/24 18:19:00:113',1,179,137,1,0.4,7,0,0,0,1
116,'2019/02/24 18:19:00:164',1,181,137,0,0,10,0,0,0,1
117,'2019/02/24 18:19:00:215',1,179.600006,137.399994,1,0,-8,0,0,0,1
118,'2019/02/24 18:19:00:266',1,179.899994,137.600006,1,1,3,0,0,0,1
119,'2019/02/24 18:19:00:317',1,178.600006,137,0.1,1,-4,0,0,0,1
120,'2019/02/24 18:19:00:368',1,180.600006,138,1,0,-6,0,0,0,1
121,'2019/02/24 18:19:00:420',1,181.199997,140.199997,0.1,0,7,0,0,0,1
122,'2019/02/24 18:19:00:471',1,180.300003,139.199997,0.5,0.4,6,0,0,0,1
123,'2019/02/24 18:19:00:523',1,178.899994,137.300003,0,0,-5,0,0,0,1
