@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric

@data
8652,'2019/04/09 19:08:38:645',11,162.199997,126.800003,941.599976,933.400024,0,5.049,0,1,0,72.39,100,15
8653,'2019/04/09 19:08:38:645',11,161.600006,126.400002,941.5,933.400024,0,5.049,0,1,0,72.39,100,15
8654,'2019/04/09 19:08:38:662',11,161,126,941.5,933.299988,0,5.049,0,1,0,72.39,100,15
8655,'2019/04/09 19:08:38:662',11,160.399994,125.199997,941.5,933.200012,0,5.049,0,1,0,72.39,100,15
8656,'2019/04/09 19:08:38:662',11,159.800003,124.400002,941.5,933.099976,0,5.049,0,1,0,72.39,100,15
8657,'2019/04/09 19:08:38:662',11,159.5,123.599998,941.5,933,0,5.049,0,1,0,72.39,100,15
8658,'2019/04/09 19:08:38:675',11,159.199997,122.800003,941.599976,933,0,5.049,0,1,0,72.39,100,15
8659,'2019/04/09 19:08:38:675',11,158.899994,121.5,941.799988,933,0,5.049,0,1,0,72.39,100,15
8660,'2019/04/09 19:08:38:675',11,158.600006,120.400002,942,933,0,5.049,0,1,0,72.39,100,15
8661,'2019/04/09 19:08:38:675',11,158.5,119.300003,942.200012,933,0,5.049,0,1,0,72.39,100,15
8662,'2019/04/09 19:08:38:690',11,158.399994,118.199997,942.299988,933,0,5.049,0,1,0,72.39,100,15
8663,'2019/04/09 19:08:38:690',11,158.600006,117.099998,942.400024,933,0,5.049,0,1,0,72.39,100,15
8664,'2019/04/09 19:08:38:705',11,158.800003,115.599998,942.400024,933,0,5.049,0,1,0,72.39,100,15
8665,'2019/04/09 19:08:38:705',11,159,114.699997,942.400024,933,0,5.049,0,1,0,72.39,100,15
8666,'2019/04/09 19:08:38:705',11,159.199997,113.800003,942.400024,933,0,5.049,0,1,0,72.39,100,15
8667,'2019/04/09 19:08:38:705',11,159.199997,112.900002,942.400024,933,0,5.049,0,1,0,72.39,100,15
8668,'2019/04/09 19:08:38:720',11,159.199997,111.400002,942.299988,933,0,5.049,0,1,0,72.39,100,15
8669,'2019/04/09 19:08:38:720',11,159.199997,110.400002,942.200012,933,0,5.049,0,1,0,72.39,100,15
8670,'2019/04/09 19:08:38:720',11,159.199997,109.400002,942.099976,933,0,5.049,0,1,0,72.39,100,15
8671,'2019/04/09 19:08:38:720',11,158.800003,108.400002,942,933,0,5.049,0,1,0,72.39,100,15
8672,'2019/04/09 19:08:38:736',11,158.399994,107.199997,942,933,0,5.049,0,1,0,72.39,100,15
8673,'2019/04/09 19:08:38:736',11,158,106,942,933,0,5.049,0,1,0,72.39,100,15
8674,'2019/04/09 19:08:38:736',11,157.600006,105.199997,942,933,0,5.049,0,1,0,72.39,100,15
8675,'2019/04/09 19:08:38:736',11,157,104.400002,942,933,0,5.049,0,1,0,72.39,100,15
