@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
147,'2018/10/17 13:28:57:338',1,92,0,1,?,?,?,?,?,?,?,?,?,?
148,'2018/10/17 13:28:57:369',1,83,0,1,?,?,?,?,?,?,?,?,?,?
149,'2018/10/17 13:28:57:370',1,83,0,1,?,?,?,?,?,?,?,?,?,?
150,'2018/10/17 13:28:57:410',1,84,0,6,?,?,?,?,?,?,?,?,?,?
151,'2018/10/17 13:28:57:411',1,84,0,6,?,?,?,?,?,?,?,?,?,?
152,'2018/10/17 13:28:57:551',1,82,0,0,?,?,?,?,?,?,?,?,?,?
153,'2018/10/17 13:28:57:551',1,82,0,0,?,?,?,?,?,?,?,?,?,?
154,'2018/10/17 13:28:57:563',1,82,0,0,?,?,?,?,?,?,?,?,?,?
155,'2018/10/17 13:28:57:595',1,77,1,4,?,?,?,?,?,?,?,?,?,?
156,'2018/10/17 13:28:57:595',1,77,1,4,?,?,?,?,?,?,?,?,?,?
157,'2018/10/17 13:28:57:606',1,77,1,4,?,?,?,?,?,?,?,?,?,?
158,'2018/10/17 13:28:57:619',1,83,2,3,?,?,?,?,?,?,?,?,?,?
159,'2018/10/17 13:28:57:626',1,83,2,3,?,?,?,?,?,?,?,?,?,?
160,'2018/10/17 13:28:57:695',1,88,0,5,?,?,?,?,?,?,?,?,?,?
161,'2018/10/17 13:28:57:695',1,88,0,5,?,?,?,?,?,?,?,?,?,?
162,'2018/10/17 13:28:57:706',1,88,0,5,?,?,?,?,?,?,?,?,?,?
163,'2018/10/17 13:28:57:739',1,77,0,3,?,?,?,?,?,?,?,?,?,?
164,'2018/10/17 13:28:57:739',1,77,0,3,?,?,?,?,?,?,?,?,?,?
165,'2018/10/17 13:28:57:862',1,84,1,2,?,?,?,?,?,?,?,?,?,?
166,'2018/10/17 13:28:57:863',1,84,1,2,?,?,?,?,?,?,?,?,?,?
167,'2018/10/17 13:28:57:874',1,84,1,2,?,?,?,?,?,?,?,?,?,?
168,'2018/10/17 13:28:57:964',1,83,0,2,?,?,?,?,?,?,?,?,?,?
169,'2018/10/17 13:28:57:964',1,83,0,2,?,?,?,?,?,?,?,?,?,?
170,'2018/10/17 13:28:57:975',1,83,0,2,?,?,?,?,?,?,?,?,?,?
171,'2018/10/17 13:28:57:985',1,83,0,2,?,?,?,?,?,?,?,?,?,?
172,'2018/10/17 13:28:58:004',1,86,0,4,?,?,?,?,?,?,?,?,?,?
173,'2018/10/17 13:28:58:006',1,86,0,4,?,?,?,?,?,?,?,?,?,?
174,'2018/10/17 13:28:58:068',1,78,0,2,?,?,?,?,?,?,?,?,?,?
175,'2018/10/17 13:28:58:069',1,78,0,2,?,?,?,?,?,?,?,?,?,?
176,'2018/10/17 13:28:58:097',1,88,0,2,?,?,?,?,?,?,?,?,?,?
177,'2018/10/17 13:28:58:098',1,88,0,2,?,?,?,?,?,?,?,?,?,?
178,'2018/10/17 13:28:58:156',1,89,0,1,?,?,?,?,?,?,?,?,?,?
179,'2018/10/17 13:28:58:156',1,89,0,1,?,?,?,?,?,?,?,?,?,?
180,'2018/10/17 13:28:58:194',1,83,1,2,?,?,?,?,?,?,?,?,?,?
181,'2018/10/17 13:28:58:194',1,83,1,2,?,?,?,?,?,?,?,?,?,?
182,'2018/10/17 13:28:58:205',1,83,1,2,?,?,?,?,?,?,?,?,?,?
183,'2018/10/17 13:28:58:230',1,88,2,3,?,?,?,?,?,?,?,?,?,?
184,'2018/10/17 13:28:58:231',1,88,2,3,?,?,?,?,?,?,?,?,?,?
185,'2018/10/17 13:28:58:268',1,81,0,2,?,?,?,?,?,?,?,?,?,?
186,'2018/10/17 13:28:58:268',1,81,0,2,?,?,?,?,?,?,?,?,?,?
187,'2018/10/17 13:28:58:364',1,89,0,1,?,?,?,?,?,?,?,?,?,?
188,'2018/10/17 13:28:58:365',1,89,0,1,?,?,?,?,?,?,?,?,?,?
189,'2018/10/17 13:28:58:407',1,92,0,1,?,?,?,?,?,?,?,?,?,?
190,'2018/10/17 13:28:58:407',1,92,0,1,?,?,?,?,?,?,?,?,?,?
191,'2018/10/17 13:28:58:429',1,97,0,1,?,?,?,?,?,?,?,?,?,?
192,'2018/10/17 13:28:58:430',1,97,0,1,?,?,?,?,?,?,?,?,?,?
193,'2018/10/17 13:28:58:518',1,86,2,0,?,?,?,?,?,?,?,?,?,?
194,'2018/10/17 13:28:58:518',1,86,2,0,?,?,?,?,?,?,?,?,?,?
195,'2018/10/17 13:28:58:905',1,77,0,2,?,?,?,?,?,?,?,?,?,?
196,'2018/10/17 13:28:58:905',1,77,0,2,?,?,?,?,?,?,?,?,?,?
197,'2018/10/17 13:28:58:916',1,77,0,2,?,?,?,?,?,?,?,?,?,?
198,'2018/10/17 13:28:58:983',1,80,0,7,?,?,?,?,?,?,?,?,?,?
199,'2018/10/17 13:28:58:983',1,80,0,7,?,?,?,?,?,?,?,?,?,?
200,'2018/10/17 13:28:58:993',1,80,0,7,?,?,?,?,?,?,?,?,?,?
201,'2018/10/17 13:28:59:049',1,72,0,1,?,?,?,?,?,?,?,?,?,?
202,'2018/10/17 13:28:59:049',1,72,0,1,?,?,?,?,?,?,?,?,?,?
203,'2018/10/17 13:28:59:060',1,72,0,1,?,?,?,?,?,?,?,?,?,?
204,'2018/10/17 13:28:59:397',1,100,1,1,?,?,?,?,?,?,?,?,?,?
205,'2018/10/17 13:28:59:398',1,100,1,1,?,?,?,?,?,?,?,?,?,?
206,'2018/10/17 13:28:59:423',1,98,0,0,?,?,?,?,?,?,?,?,?,?
207,'2018/10/17 13:28:59:423',1,98,0,0,?,?,?,?,?,?,?,?,?,?
208,'2018/10/17 13:28:59:539',1,111,3,0,?,?,?,?,?,?,?,?,?,?
209,'2018/10/17 13:28:59:540',1,111,3,0,?,?,?,?,?,?,?,?,?,?
210,'2018/10/17 13:28:59:674',1,85,0,3,?,?,?,?,?,?,?,?,?,?
211,'2018/10/17 13:28:59:675',1,85,0,3,?,?,?,?,?,?,?,?,?,?
212,'2018/10/17 13:28:59:686',1,85,0,3,?,?,?,?,?,?,?,?,?,?
213,'2018/10/17 13:28:59:715',1,95,1,6,?,?,?,?,?,?,?,?,?,?
214,'2018/10/17 13:28:59:716',1,95,1,6,?,?,?,?,?,?,?,?,?,?
215,'2018/10/17 13:28:59:758',1,82,1,0,?,?,?,?,?,?,?,?,?,?
216,'2018/10/17 13:28:59:759',1,82,1,0,?,?,?,?,?,?,?,?,?,?
217,'2018/10/17 13:28:59:785',1,81,0,2,?,?,?,?,?,?,?,?,?,?
218,'2018/10/17 13:28:59:785',1,81,0,2,?,?,?,?,?,?,?,?,?,?
219,'2018/10/17 13:28:59:805',1,77,0,3,?,?,?,?,?,?,?,?,?,?
220,'2018/10/17 13:28:59:807',1,77,0,3,?,?,?,?,?,?,?,?,?,?
221,'2018/10/17 13:28:59:816',1,77,0,3,?,?,?,?,?,?,?,?,?,?
222,'2018/10/17 13:28:59:849',1,96,0,2,?,?,?,?,?,?,?,?,?,?
223,'2018/10/17 13:28:59:849',1,96,0,2,?,?,?,?,?,?,?,?,?,?
224,'2018/10/17 13:28:59:906',1,100,0,0,?,?,?,?,?,?,?,?,?,?
225,'2018/10/17 13:28:59:907',1,100,0,0,?,?,?,?,?,?,?,?,?,?
