@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
28,'2018/09/21 18:01:25:164',1,921.079041,488.603729,937.663635,631.091553,954.687256,782.776917,948.261047,824.618469,966.574097,810.017639,942.286194,862.268005,747.00592,488.491638,704.072205,626.427185,676.705505,748.175659,677.490784,798.263123,703.400574,784.010864,668.477295,848.65625,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
29,'2018/09/21 18:01:25:234',1,921.006042,489.11731,937.676514,631.054626,954.77478,782.249878,948.172546,825.120361,966.485168,810.277222,943.316833,862.74762,746.578796,488.317108,704.129272,626.358887,676.761841,748.161194,677.664917,797.946167,703.053467,794.048706,669.373779,847.356506,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
30,'2018/09/21 18:01:25:302',1,920.811829,488.380646,937.746582,630.955566,954.488525,783.405762,947.767151,824.54657,967.389587,802.123535,945.281128,862.120361,746.58197,488.39032,704.212646,626.282959,676.754333,748.186951,677.880432,797.739929,703.100647,792.239136,668.788574,847.461914,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
31,'2018/09/21 18:01:25:376',1,920.916321,488.033936,937.823547,630.841553,954.429688,783.281799,948.342224,824.571777,965.99176,810.536011,943.218384,858.327026,746.369141,488.51004,704.237549,626.266785,676.774353,748.224976,677.41864,797.735596,702.475525,807.558105,669.313904,847.066528,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
32,'2018/09/21 18:01:25:454',1,921.017639,487.939911,937.887512,630.856689,954.552795,783.265503,947.970276,825.250793,967.15509,803.204285,941.738159,862.609558,746.215271,488.382172,704.29895,626.240662,676.851624,748.193298,677.533264,798.183716,702.969727,795.960449,669.386047,847.260498,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
33,'2018/09/21 18:01:25:534',1,920.922241,487.414154,937.936401,630.88916,954.763855,783.233948,948.027832,824.330017,966.669739,823.304932,941.965271,863.057861,745.820862,488.10022,704.40094,626.292603,676.871094,748.175903,677.366028,798.228271,702.568909,800.198853,669.09436,847.212402,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
34,'2018/09/21 18:01:25:601',1,921.300537,487.728271,938.02063,630.804382,954.867371,783.103699,948.560791,823.147278,966.835815,822.386841,944.915466,858.38269,745.869629,488.110443,704.46814,626.218994,676.853149,748.194702,677.205078,798.09259,702.812134,795.067749,668.664185,847.254456,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
35,'2018/09/21 18:01:25:666',1,921.225952,487.274414,938.083862,630.892456,955.08783,782.092896,948.410706,823.884338,965.885193,825.7229,942.395996,860.488892,745.721375,487.991882,704.481812,626.205444,676.805786,748.168274,677.017151,797.88678,702.745911,795.419189,668.307983,847.123047,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
36,'2018/09/21 18:01:25:739',1,921.427368,487.777008,938.140564,630.946411,954.430908,783.353088,948.184875,823.639404,966.003052,822.732544,941.152405,862.937317,745.737366,488.101471,704.535156,626.184204,676.859131,748.145874,677.241882,798.136902,703.169189,785.188965,668.991089,846.981445,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
37,'2018/09/21 18:01:25:808',1,921.630615,488.11264,938.17688,630.881775,954.713318,783.19635,948.402832,823.85553,966.2547,824.159424,943.084412,863.184204,745.65271,488.018311,704.529602,626.168518,676.832214,748.084045,677.260437,798.670288,702.079956,803.875,667.909973,847.222046,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
38,'2018/09/21 18:01:25:886',1,921.484436,487.76062,938.195496,630.794678,956.361877,761.829468,950.54248,814.909363,966.886963,812.554443,944.090759,857.734985,745.47876,487.880402,704.515137,626.163208,676.817505,748.13092,677.363403,798.554077,702.410583,802.711853,668.15918,846.656616,0.73,0.26,0.09,0.911821,0.937332,1975.533203,0.329043,0.425327,0.908304
