@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
216,'2019/02/23 14:20:28:461',2,9,266,0,0,2
217,'2019/02/23 14:20:28:470',2,9,266,0,0,2
218,'2019/02/23 14:20:28:772',2,9,189,0,0,2
219,'2019/02/23 14:20:28:773',2,9,189,0,0,2
220,'2019/02/23 14:20:28:783',2,9,189,0,0,2
221,'2019/02/23 14:20:28:793',2,9,189,0,0,2
222,'2019/02/23 14:20:28:803',2,9,189,0,0,2
223,'2019/02/23 14:20:29:138',2,8,208,0,0,2
224,'2019/02/23 14:20:29:139',2,8,208,0,0,2
225,'2019/02/23 14:20:29:149',2,8,208,0,0,2
226,'2019/02/23 14:20:29:159',2,8,208,0,0,2
227,'2019/02/23 14:20:29:170',2,8,208,0,0,2
228,'2019/02/23 14:20:29:505',2,6,253,0,0,2
229,'2019/02/23 14:20:29:505',2,6,253,0,0,2
230,'2019/02/23 14:20:29:514',2,6,253,0,0,2
231,'2019/02/23 14:20:29:525',2,6,253,0,0,2
232,'2019/02/23 14:20:29:534',2,6,253,0,0,2
233,'2019/02/23 14:20:29:870',2,6,272,0,0,2
234,'2019/02/23 14:20:29:871',2,6,272,0,0,2
235,'2019/02/23 14:20:29:880',2,6,272,0,0,2
236,'2019/02/23 14:20:29:891',2,6,272,0,0,2
237,'2019/02/23 14:20:29:901',2,6,272,0,0,2
238,'2019/02/23 14:20:30:236',2,7,230,0,0,2
239,'2019/02/23 14:20:30:237',2,7,230,0,0,2
240,'2019/02/23 14:20:30:248',2,7,230,0,0,2
241,'2019/02/23 14:20:30:258',2,7,230,0,0,2
242,'2019/02/23 14:20:30:267',2,7,230,0,0,2
243,'2019/02/23 14:20:30:603',2,8,203,0,0,2
244,'2019/02/23 14:20:30:603',2,8,203,0,0,2
245,'2019/02/23 14:20:30:613',2,8,203,0,0,2
246,'2019/02/23 14:20:30:623',2,8,203,0,0,2
247,'2019/02/23 14:20:30:632',2,8,203,0,0,2
248,'2019/02/23 14:20:30:968',2,8,183,0,0,2
249,'2019/02/23 14:20:30:969',2,8,183,0,0,2
250,'2019/02/23 14:20:30:979',2,8,183,0,0,2
251,'2019/02/23 14:20:30:988',2,8,183,0,0,2
252,'2019/02/23 14:20:30:999',2,8,183,0,0,2
253,'2019/02/23 14:20:31:335',2,6,118,0,1,2
254,'2019/02/23 14:20:31:336',2,6,118,0,1,2
255,'2019/02/23 14:20:31:345',2,6,118,0,1,2
256,'2019/02/23 14:20:31:356',2,6,118,0,1,2
257,'2019/02/23 14:20:31:364',2,6,118,0,1,2
258,'2019/02/23 14:20:31:700',2,7,111,0,0,2
259,'2019/02/23 14:20:31:700',2,7,111,0,0,2
260,'2019/02/23 14:20:31:711',2,7,111,0,0,2
261,'2019/02/23 14:20:31:721',2,7,111,0,0,2
262,'2019/02/23 14:20:31:731',2,7,111,0,0,2
263,'2019/02/23 14:20:31:740',2,7,103,0,0,2
264,'2019/02/23 14:20:31:751',2,7,103,0,0,2
265,'2019/02/23 14:20:31:760',2,7,103,0,0,2
266,'2019/02/23 14:20:32:964',2,4,512,0,0,2
267,'2019/02/23 14:20:32:964',2,4,512,0,0,2
268,'2019/02/23 14:20:32:974',2,4,512,0,0,2
269,'2019/02/23 14:20:32:985',2,4,512,0,0,2
270,'2019/02/23 14:20:32:994',2,4,512,0,0,2
271,'2019/02/23 14:20:33:330',2,5,261,0,0,2
272,'2019/02/23 14:20:33:331',2,5,261,0,0,2
273,'2019/02/23 14:20:33:340',2,5,261,0,0,2
274,'2019/02/23 14:20:33:350',2,5,261,0,0,2
275,'2019/02/23 14:20:33:361',2,5,261,0,0,2
276,'2019/02/23 14:20:33:696',2,5,618,0,0,2
277,'2019/02/23 14:20:33:697',2,5,618,0,0,2
278,'2019/02/23 14:20:33:706',2,5,618,0,0,2
279,'2019/02/23 14:20:33:716',2,5,618,0,0,2
280,'2019/02/23 14:20:33:726',2,5,618,0,0,2
281,'2019/02/23 14:20:34:062',2,8,309,0,0,2
282,'2019/02/23 14:20:34:063',2,8,309,0,0,2
283,'2019/02/23 14:20:34:072',2,8,309,0,0,2
284,'2019/02/23 14:20:34:082',2,8,309,0,0,2
285,'2019/02/23 14:20:34:092',2,8,309,0,0,2
286,'2019/02/23 14:20:34:361',2,10,813,0,0,2
287,'2019/02/23 14:20:34:362',2,10,813,0,0,2
288,'2019/02/23 14:20:34:371',2,10,813,0,0,2
289,'2019/02/23 14:20:34:382',2,10,813,0,0,2
290,'2019/02/23 14:20:34:392',2,10,813,0,0,2
291,'2019/02/23 14:20:34:461',2,10,728,0,0,2
292,'2019/02/23 14:20:34:461',2,10,728,0,0,2
293,'2019/02/23 14:20:34:471',2,10,728,0,0,2
294,'2019/02/23 14:20:34:482',2,10,728,0,0,2
295,'2019/02/23 14:20:34:491',2,10,728,0,0,2
296,'2019/02/23 14:20:34:561',2,10,635,0,0,2
297,'2019/02/23 14:20:34:562',2,10,635,0,0,2
298,'2019/02/23 14:20:34:571',2,10,635,0,0,2
299,'2019/02/23 14:20:34:582',2,10,635,0,0,2
300,'2019/02/23 14:20:34:591',2,10,635,0,0,2
301,'2019/02/23 14:20:34:894',2,5,305,0,0,2
302,'2019/02/23 14:20:34:895',2,5,305,0,0,2
303,'2019/02/23 14:20:34:904',2,5,305,0,0,2
304,'2019/02/23 14:20:34:914',2,5,305,0,0,2
305,'2019/02/23 14:20:34:924',2,5,305,0,0,2
306,'2019/02/23 14:20:35:259',2,5,108,0,0,2
307,'2019/02/23 14:20:35:260',2,5,108,0,0,2
308,'2019/02/23 14:20:35:269',2,5,108,0,0,2
309,'2019/02/23 14:20:35:280',2,5,108,0,0,2
310,'2019/02/23 14:20:35:289',2,5,108,0,0,2
311,'2019/02/23 14:20:35:359',2,6,104,0,0,2
312,'2019/02/23 14:20:35:360',2,6,104,0,0,2
313,'2019/02/23 14:20:35:370',2,6,104,0,0,2
314,'2019/02/23 14:20:35:380',2,6,104,0,0,2
315,'2019/02/23 14:20:35:389',2,6,104,0,0,2
316,'2019/02/23 14:21:04:668',3,234,114,0,0,3
317,'2019/02/23 14:21:04:670',3,234,114,0,0,3
318,'2019/02/23 14:21:04:678',3,234,114,0,0,3
319,'2019/02/23 14:21:04:688',3,234,114,0,0,3
320,'2019/02/23 14:21:04:699',3,234,114,0,0,3
321,'2019/02/23 14:21:05:100',3,577,125,0,0,3
322,'2019/02/23 14:21:05:101',3,577,125,0,0,3
323,'2019/02/23 14:21:05:111',3,577,125,0,0,3
324,'2019/02/23 14:21:05:121',3,577,125,0,0,3
325,'2019/02/23 14:21:05:131',3,577,125,0,0,3
326,'2019/02/23 14:21:05:533',3,290,124,0,0,3
327,'2019/02/23 14:21:05:533',3,290,124,0,0,3
328,'2019/02/23 14:21:05:543',3,290,124,0,0,3
329,'2019/02/23 14:21:05:554',3,290,124,0,0,3
330,'2019/02/23 14:21:05:563',3,290,124,0,0,3
331,'2019/02/23 14:21:06:066',3,651,123,0,0,3
332,'2019/02/23 14:21:06:066',3,651,123,0,0,3
333,'2019/02/23 14:21:06:077',3,651,123,0,0,3
334,'2019/02/23 14:21:06:087',3,651,123,0,0,3
335,'2019/02/23 14:21:06:096',3,651,123,0,0,3
336,'2019/02/23 14:21:09:758',3,89,91,0,0,3
337,'2019/02/23 14:21:09:758',3,89,91,0,0,3
338,'2019/02/23 14:21:09:768',3,89,91,0,0,3
339,'2019/02/23 14:21:09:779',3,89,91,0,0,3
340,'2019/02/23 14:21:09:789',3,89,91,0,0,3
341,'2019/02/23 14:21:11:455',3,256,108,0,0,3
342,'2019/02/23 14:21:11:456',3,256,108,0,0,3
343,'2019/02/23 14:21:11:466',3,256,108,0,0,3
344,'2019/02/23 14:21:11:475',3,256,108,0,0,3
345,'2019/02/23 14:21:11:486',3,256,108,0,0,3
346,'2019/02/23 14:21:14:315',3,11,95,0,0,3
347,'2019/02/23 14:21:14:316',3,11,95,0,0,3
348,'2019/02/23 14:21:14:326',3,11,95,0,0,3
