@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
94,'2019/04/11 20:43:40:590',1,88.5,481,0,370.799988,950.299988,0,?,?,?,?,?,?,?,?,?
95,'2019/04/11 20:43:40:590',1,86.5,482.5,0,370.899994,950.400024,0,?,?,?,?,?,?,?,?,?
96,'2019/04/11 20:43:40:591',1,84.099998,484,0,371,950.5,0,?,?,?,?,?,?,?,?,?
97,'2019/04/11 20:43:40:607',1,81.699997,485.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
98,'2019/04/11 20:43:40:608',1,79.300003,486.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
99,'2019/04/11 20:43:40:608',1,76.900002,487.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
100,'2019/04/11 20:43:40:608',1,74.5,488.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
101,'2019/04/11 20:43:40:608',1,72.699997,489.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
102,'2019/04/11 20:43:40:608',1,70.900002,490.5,0,371,950.5,0,?,?,?,?,?,?,?,?,?
103,'2019/04/11 20:43:40:608',1,69.099998,490.399994,0,370.899994,950.5,0,?,?,?,?,?,?,?,?,?
104,'2019/04/11 20:43:40:608',1,67.300003,488.399994,0,370.799988,950.5,0,?,?,?,?,?,?,?,?,?
105,'2019/04/11 20:43:40:608',1,65.5,486.399994,0,370.700012,950.5,0,?,?,?,?,?,?,?,?,?
106,'2019/04/11 20:43:40:608',1,64.800003,484.399994,0,370.600006,950.5,0,?,?,?,?,?,?,?,?,?
107,'2019/04/11 20:43:40:608',1,63.200001,482.399994,0,370.5,950.599976,0,?,?,?,?,?,?,?,?,?
108,'2019/04/11 20:43:40:635',1,61.599998,480.5,0,370.5,950.700012,0,?,?,?,?,?,?,?,?,?
109,'2019/04/11 20:43:40:636',1,60,476.299988,0,370.5,950.799988,0,?,?,?,?,?,?,?,?,?
110,'2019/04/11 20:43:40:636',1,58.400002,472.100006,0,370.5,950.900024,0,?,?,?,?,?,?,?,?,?
111,'2019/04/11 20:43:40:636',1,57.5,467.899994,0,370.5,951,0,?,?,?,?,?,?,?,?,?
112,'2019/04/11 20:43:40:636',1,56.099998,463.700012,0,370.5,951,0,?,?,?,?,?,?,?,?,?
