@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
15808,'2019/02/25 20:20:19:758',17,79,288.5,0,0,0,?,?,?,?,?,?,?,?
15809,'2019/02/25 20:20:19:758',17,79.5,288.399994,0,0,0,?,?,?,?,?,?,?,?
15810,'2019/02/25 20:20:19:774',17,80,289.299988,0,0,0,?,?,?,?,?,?,?,?
15811,'2019/02/25 20:20:19:774',17,80.199997,290.200012,0,0,0,?,?,?,?,?,?,?,?
15812,'2019/02/25 20:20:19:774',17,80.400002,290.399994,0,0,0,?,?,?,?,?,?,?,?
15813,'2019/02/25 20:20:19:774',17,80.800003,290.600006,0,0,0,?,?,?,?,?,?,?,?
15814,'2019/02/25 20:20:19:789',17,81.199997,290.299988,0,0,0,?,?,?,?,?,?,?,?
15815,'2019/02/25 20:20:19:789',17,81.199997,290,0,0,0,?,?,?,?,?,?,?,?
15816,'2019/02/25 20:20:19:789',17,81.199997,290.5,0,0,0,?,?,?,?,?,?,?,?
15817,'2019/02/25 20:20:19:789',17,81.699997,291,0,0,0,?,?,?,?,?,?,?,?
15818,'2019/02/25 20:20:19:803',17,82.199997,292.299988,0,0,0,?,?,?,?,?,?,?,?
15819,'2019/02/25 20:20:19:803',17,82.800003,293.600006,0,0,0,?,?,?,?,?,?,?,?
15820,'2019/02/25 20:20:19:818',17,83.400002,292.799988,0,0,0,?,?,?,?,?,?,?,?
15821,'2019/02/25 20:20:19:818',17,84,292,0,0,0,?,?,?,?,?,?,?,?
15822,'2019/02/25 20:20:19:818',17,84.599998,291.200012,0,0,0,?,?,?,?,?,?,?,?
15823,'2019/02/25 20:20:19:818',17,84.199997,290.399994,0,0,0,?,?,?,?,?,?,?,?
15824,'2019/02/25 20:20:19:833',17,83.800003,291,0,0,0,?,?,?,?,?,?,?,?
15825,'2019/02/25 20:20:19:833',17,83.400002,291.600006,0,0,0,?,?,?,?,?,?,?,?
15826,'2019/02/25 20:20:19:833',17,82.900002,292.200012,0,0,0,?,?,?,?,?,?,?,?
15827,'2019/02/25 20:20:19:851',17,81.900002,292.200012,0,0,0,?,?,?,?,?,?,?,?
15828,'2019/02/25 20:20:19:851',17,80.900002,291.399994,0,0,0,?,?,?,?,?,?,?,?
15829,'2019/02/25 20:20:19:851',17,80,290.600006,0,0,0,?,?,?,?,?,?,?,?
15830,'2019/02/25 20:20:19:851',17,79.699997,290.899994,0,0,0,?,?,?,?,?,?,?,?
15831,'2019/02/25 20:20:19:851',17,79.400002,292,0,0,0,?,?,?,?,?,?,?,?
15832,'2019/02/25 20:20:19:851',17,79.099998,293.100006,0,0,0,?,?,?,?,?,?,?,?
15833,'2019/02/25 20:20:19:851',17,79.599998,294.200012,0,0,0,?,?,?,?,?,?,?,?
15834,'2019/02/25 20:20:19:851',17,80.199997,294.399994,0,0,0,?,?,?,?,?,?,?,?
15835,'2019/02/25 20:20:19:878',17,80.800003,293.600006,0,0,0,?,?,?,?,?,?,?,?
15836,'2019/02/25 20:20:19:878',17,81.5,292.799988,0,0,0,?,?,?,?,?,?,?,?
15837,'2019/02/25 20:20:19:878',17,82.199997,292.600006,0,0,0,?,?,?,?,?,?,?,?
15838,'2019/02/25 20:20:19:878',17,82.199997,292.399994,0,0,0,?,?,?,?,?,?,?,?
15839,'2019/02/25 20:20:19:893',17,82.199997,293.200012,0,0,0,?,?,?,?,?,?,?,?
15840,'2019/02/25 20:20:19:893',17,81.599998,294,0,0,0,?,?,?,?,?,?,?,?
15841,'2019/02/25 20:20:19:893',17,81.199997,294,0,0,0,?,?,?,?,?,?,?,?
15842,'2019/02/25 20:20:19:908',17,80.800003,293.299988,0,0,0,?,?,?,?,?,?,?,?
15843,'2019/02/25 20:20:19:908',17,80.400002,292.600006,0,0,0,?,?,?,?,?,?,?,?
15844,'2019/02/25 20:20:19:908',17,79.900002,291.899994,0,0,0,?,?,?,?,?,?,?,?
15845,'2019/02/25 20:20:19:908',17,80.300003,292.200012,0,0,0,?,?,?,?,?,?,?,?
15846,'2019/02/25 20:20:19:923',17,80.699997,293.299988,0,0,0,?,?,?,?,?,?,?,?
15847,'2019/02/25 20:20:19:923',17,81.099998,294.399994,0,0,0,?,?,?,?,?,?,?,?
15848,'2019/02/25 20:20:19:923',17,82.199997,295.5,0,0,0,?,?,?,?,?,?,?,?
15849,'2019/02/25 20:20:19:938',17,83.300003,294.200012,0,0,0,?,?,?,?,?,?,?,?
15850,'2019/02/25 20:20:19:938',17,84.400002,292.899994,0,0,0,?,?,?,?,?,?,?,?
15851,'2019/02/25 20:20:19:938',17,84.800003,291.600006,0,0,0,?,?,?,?,?,?,?,?
15852,'2019/02/25 20:20:19:953',17,85.199997,292.100006,0,0,0,?,?,?,?,?,?,?,?
15853,'2019/02/25 20:20:19:953',17,85.599998,292.600006,0,0,0,?,?,?,?,?,?,?,?
15854,'2019/02/25 20:20:19:953',17,86.099998,293.100006,0,0,0,?,?,?,?,?,?,?,?
15855,'2019/02/25 20:20:19:968',17,85.699997,293,0,0,0,?,?,?,?,?,?,?,?
15856,'2019/02/25 20:20:19:968',17,85.300003,292.100006,0,0,0,?,?,?,?,?,?,?,?
15857,'2019/02/25 20:20:19:968',17,84.900002,291.200012,0,0,0,?,?,?,?,?,?,?,?
15858,'2019/02/25 20:20:19:968',17,84.900002,290.299988,0,0,0,?,?,?,?,?,?,?,?
15859,'2019/02/25 20:20:19:984',17,84.900002,291.5,0,0,0,?,?,?,?,?,?,?,?
15860,'2019/02/25 20:20:19:984',17,84.900002,292.700012,0,0,0,?,?,?,?,?,?,?,?
15861,'2019/02/25 20:20:19:984',17,85.400002,293.899994,0,0,0,?,?,?,?,?,?,?,?
15862,'2019/02/25 20:20:19:984',17,86,294,0,0,0,?,?,?,?,?,?,?,?
15863,'2019/02/25 20:20:19:999',17,86.599998,293,0,0,0,?,?,?,?,?,?,?,?
15864,'2019/02/25 20:20:19:999',17,87.099998,292,0,0,0,?,?,?,?,?,?,?,?
15865,'2019/02/25 20:20:19:999',17,87.599998,291.600006,0,0,0,?,?,?,?,?,?,?,?
15866,'2019/02/25 20:20:19:999',17,87.5,291.200012,0,0,0,?,?,?,?,?,?,?,?
15867,'2019/02/25 20:20:20:013',17,87.400002,291.700012,0,0,0,?,?,?,?,?,?,?,?
15868,'2019/02/25 20:20:20:013',17,86.900002,292.200012,0,0,0,?,?,?,?,?,?,?,?
15869,'2019/02/25 20:20:20:013',17,86.199997,292,0,0,0,?,?,?,?,?,?,?,?
15870,'2019/02/25 20:20:20:030',17,85.5,291.299988,0,0,0,?,?,?,?,?,?,?,?
15871,'2019/02/25 20:20:20:030',17,84.800003,290.600006,0,0,0,?,?,?,?,?,?,?,?
15872,'2019/02/25 20:20:20:030',17,84.300003,289.899994,0,0,0,?,?,?,?,?,?,?,?
15873,'2019/02/25 20:20:20:030',17,83.800003,291.200012,0,0,0,?,?,?,?,?,?,?,?
15874,'2019/02/25 20:20:20:030',17,83.400002,292.5,0,0,0,?,?,?,?,?,?,?,?
15875,'2019/02/25 20:20:20:059',17,83,292.600006,0,0,0,?,?,?,?,?,?,?,?
15876,'2019/02/25 20:20:20:059',17,83.199997,292.700012,0,0,0,?,?,?,?,?,?,?,?
15877,'2019/02/25 20:20:20:059',17,83,291.899994,0,0,0,?,?,?,?,?,?,?,?
15878,'2019/02/25 20:20:20:073',17,82.800003,292.100006,0,0,0,?,?,?,?,?,?,?,?
15879,'2019/02/25 20:20:20:073',17,82.800003,292.299988,0,0,0,?,?,?,?,?,?,?,?
15880,'2019/02/25 20:20:20:073',17,82.800003,293,0,0,0,?,?,?,?,?,?,?,?
15881,'2019/02/25 20:20:20:073',17,82.699997,293.700012,0,0,0,?,?,?,?,?,?,?,?
15882,'2019/02/25 20:20:20:089',17,82.300003,293.799988,0,0,0,?,?,?,?,?,?,?,?
15883,'2019/02/25 20:20:20:089',17,81.900002,293,0,0,0,?,?,?,?,?,?,?,?
15884,'2019/02/25 20:20:20:089',17,81.699997,292.200012,0,0,0,?,?,?,?,?,?,?,?
15885,'2019/02/25 20:20:20:103',17,81.5,293.399994,0,0,0,?,?,?,?,?,?,?,?
15886,'2019/02/25 20:20:20:103',17,81.300003,294.600006,0,0,0,?,?,?,?,?,?,?,?
15887,'2019/02/25 20:20:20:103',17,81.5,295.799988,0,0,0,?,?,?,?,?,?,?,?
15888,'2019/02/25 20:20:20:103',17,82.199997,296,0,0,0,?,?,?,?,?,?,?,?
15889,'2019/02/25 20:20:20:119',17,82.900002,295,0,0,0,?,?,?,?,?,?,?,?
15890,'2019/02/25 20:20:20:119',17,83.599998,294,0,0,0,?,?,?,?,?,?,?,?
15891,'2019/02/25 20:20:20:119',17,83.800003,293,0,0,0,?,?,?,?,?,?,?,?
15892,'2019/02/25 20:20:20:134',17,84,293.799988,0,0,0,?,?,?,?,?,?,?,?
15893,'2019/02/25 20:20:20:134',17,84.199997,294.600006,0,0,0,?,?,?,?,?,?,?,?
15894,'2019/02/25 20:20:20:134',17,84.099998,295.399994,0,0,0,?,?,?,?,?,?,?,?
15895,'2019/02/25 20:20:20:134',17,83.800003,295.399994,0,0,0,?,?,?,?,?,?,?,?
15896,'2019/02/25 20:20:20:148',17,83.5,294.600006,0,0,0,?,?,?,?,?,?,?,?
15897,'2019/02/25 20:20:20:148',17,83.199997,293.799988,0,0,0,?,?,?,?,?,?,?,?
15898,'2019/02/25 20:20:20:148',17,82.699997,293,0,0,0,?,?,?,?,?,?,?,?
15899,'2019/02/25 20:20:20:165',17,82.199997,294.299988,0,0,0,?,?,?,?,?,?,?,?
15900,'2019/02/25 20:20:20:178',17,81.699997,294.5,0,0,0,?,?,?,?,?,?,?,?
15901,'2019/02/25 20:20:20:178',17,81.800003,294.700012,0,0,0,?,?,?,?,?,?,?,?
15902,'2019/02/25 20:20:20:178',17,81.5,293.700012,0,0,0,?,?,?,?,?,?,?,?
15903,'2019/02/25 20:20:20:194',17,81.199997,293.799988,0,0,0,?,?,?,?,?,?,?,?
15904,'2019/02/25 20:20:20:194',17,80.900002,293.899994,0,0,0,?,?,?,?,?,?,?,?
15905,'2019/02/25 20:20:20:194',17,80.800003,294,0,0,0,?,?,?,?,?,?,?,?
15906,'2019/02/25 20:20:20:194',17,80.400002,294.899994,0,0,0,?,?,?,?,?,?,?,?
15907,'2019/02/25 20:20:20:208',17,80,295.200012,0,0,0,?,?,?,?,?,?,?,?
15908,'2019/02/25 20:20:20:208',17,79.300003,295.5,0,0,0,?,?,?,?,?,?,?,?
15909,'2019/02/25 20:20:20:208',17,79.099998,294.899994,0,0,0,?,?,?,?,?,?,?,?
15910,'2019/02/25 20:20:20:223',17,78.900002,296.200012,0,0,0,?,?,?,?,?,?,?,?
15911,'2019/02/25 20:20:20:223',17,78.699997,297.5,0,0,0,?,?,?,?,?,?,?,?
15912,'2019/02/25 20:20:20:223',17,78.900002,298.799988,0,0,0,?,?,?,?,?,?,?,?
15913,'2019/02/25 20:20:20:223',17,79,299,0,0,0,?,?,?,?,?,?,?,?
15914,'2019/02/25 20:20:20:239',17,79.099998,297.899994,0,0,0,?,?,?,?,?,?,?,?
15915,'2019/02/25 20:20:20:239',17,79.199997,296.799988,0,0,0,?,?,?,?,?,?,?,?
15916,'2019/02/25 20:20:20:239',17,79.400002,295.700012,0,0,0,?,?,?,?,?,?,?,?
15917,'2019/02/25 20:20:20:253',17,79.599998,296.100006,0,0,0,?,?,?,?,?,?,?,?
15918,'2019/02/25 20:20:20:253',17,79.800003,296.5,0,0,0,?,?,?,?,?,?,?,?
15919,'2019/02/25 20:20:20:253',17,79.199997,296.899994,0,0,0,?,?,?,?,?,?,?,?
15920,'2019/02/25 20:20:20:271',17,78.599998,295.899994,0,0,0,?,?,?,?,?,?,?,?
15921,'2019/02/25 20:20:20:271',17,78,294.899994,0,0,0,?,?,?,?,?,?,?,?
15922,'2019/02/25 20:20:20:271',17,77.400002,293.899994,0,0,0,?,?,?,?,?,?,?,?
15923,'2019/02/25 20:20:20:271',17,76.800003,292.899994,0,0,0,?,?,?,?,?,?,?,?
15924,'2019/02/25 20:20:20:271',17,76.199997,294,0,0,0,?,?,?,?,?,?,?,?
15925,'2019/02/25 20:20:20:271',17,75.599998,295.100006,0,0,0,?,?,?,?,?,?,?,?
15926,'2019/02/25 20:20:20:271',17,75.199997,296.200012,0,0,0,?,?,?,?,?,?,?,?
15927,'2019/02/25 20:20:20:271',17,74.699997,296.399994,0,0,0,?,?,?,?,?,?,?,?
15928,'2019/02/25 20:20:20:299',17,74.199997,295.600006,0,0,0,?,?,?,?,?,?,?,?
15929,'2019/02/25 20:20:20:299',17,74,294.799988,0,0,0,?,?,?,?,?,?,?,?
15930,'2019/02/25 20:20:20:299',17,73.800003,294.600006,0,0,0,?,?,?,?,?,?,?,?
15931,'2019/02/25 20:20:20:299',17,73.400002,294.399994,0,0,0,?,?,?,?,?,?,?,?
15932,'2019/02/25 20:20:20:313',17,73,295,0,0,0,?,?,?,?,?,?,?,?
15933,'2019/02/25 20:20:20:313',17,72.699997,295.600006,0,0,0,?,?,?,?,?,?,?,?
15934,'2019/02/25 20:20:20:313',17,72.400002,295.399994,0,0,0,?,?,?,?,?,?,?,?
15935,'2019/02/25 20:20:20:313',17,72.300003,295.200012,0,0,0,?,?,?,?,?,?,?,?
15936,'2019/02/25 20:20:20:329',17,72.199997,294.299988,0,0,0,?,?,?,?,?,?,?,?
